,Time,Name,FIPS county code,State.Name
249,2000-01-01,Bowie County,48037,Texas
250,2000-01-01,Bowman County,38011,North Dakota
251,2000-01-01,Box Butte County,31013,Nebraska
252,2000-01-01,Box Elder County,49003,Utah
253,2000-01-01,Boyd County,31015,Nebraska
254,2000-01-01,Boyd County,21019,Kentucky
255,2000-01-01,Boyle County,21021,Kentucky
256,2000-01-01,Bracken County,21023,Kentucky
257,2000-01-01,Bradford County,42015,Pennsylvania
258,2000-01-01,Bradford County,12007,Florida
259,2000-01-01,Bradley County,47011,Tennessee
260,2000-01-01,Bradley County,5011,Arkansas
261,2000-01-01,Branch County,26023,Michigan
262,2000-01-01,Brantley County,13025,Georgia
263,2000-01-01,Braxton County,54007,West Virginia
264,2000-01-01,Brazoria County,48039,Texas
265,2000-01-01,Brazos County,48041,Texas
266,2000-01-01,Breathitt County,21025,Kentucky
267,2000-01-01,Breckinridge County,21027,Kentucky
268,2000-01-01,Bremer County,19017,Iowa
269,2000-01-01,Brevard County,12009,Florida
270,2000-01-01,Brewster County,48043,Texas
271,2000-01-01,Briscoe County,48045,Texas
272,2000-01-01,Bristol Bay Borough,2060,Alaska
273,2000-01-01,Bristol County,44001,Rhode Island
274,2000-01-01,Bristol County,25005,Massachusetts
275,2000-01-01,Bristol city,51520,Virginia
276,2000-01-01,Broadwater County,30007,Montana
277,2000-01-01,Bronx County,36005,New York
278,2000-01-01,Brooke County,54009,West Virginia
279,2000-01-01,Brookings County,46011,South Dakota
280,2000-01-01,Brooks County,48047,Texas
281,2000-01-01,Brooks County,13027,Georgia
282,2000-01-01,Broome County,36007,New York
283,2000-01-01,Broomfield County,8014,Colorado
284,2000-01-01,Broward County,12011,Florida
285,2000-01-01,Brown County,39015,Ohio
286,2000-01-01,Brown County,31017,Nebraska
287,2000-01-01,Brown County,55009,Wisconsin
288,2000-01-01,Brown County,48049,Texas
289,2000-01-01,Brown County,46013,South Dakota
290,2000-01-01,Brown County,18013,Indiana
291,2000-01-01,Brown County,17009,Illinois
292,2000-01-01,Brown County,27015,Minnesota
293,2000-01-01,Brown County,20013,Kansas
294,2000-01-01,Brule County,46015,South Dakota
295,2000-01-01,Brunswick County,37019,North Carolina
296,2000-01-01,Brunswick County,51025,Virginia
297,2000-01-01,Bryan County,40013,Oklahoma
298,2000-01-01,Bryan County,13029,Georgia
299,2000-01-01,Buchanan County,51027,Virginia
300,2000-01-01,Buchanan County,29021,Missouri
301,2000-01-01,Buchanan County,19019,Iowa
302,2000-01-01,Buckingham County,51029,Virginia
