,Time,Name,Maternal mortality ratio (%)
225,2000-01-01,Paraguay,0.159
226,2000-01-01,Peru,0.114
227,2000-01-01,Philippines,0.127
228,2000-01-01,Poland,0.006
229,2000-01-01,Portugal,0.012
230,2000-01-01,Puerto Rico,0.019
231,2000-01-01,Qatar,0.021
232,2000-01-01,Republic of Korea,0.014
233,2000-01-01,Republic of Moldova,0.039
234,2000-01-01,Papua New Guinea,0.277
235,2000-01-01,Spain,0.005
236,2000-01-01,Sri Lanka,0.043
237,2000-01-01,State of Palestine,0.062
238,2000-01-01,United Kingdom,0.012
239,2000-01-01,United Rep. of Tanzania,0.687
240,2000-01-01,United States of America,0.013
241,2000-01-01,Uzbekistan,0.042
242,2000-01-01,Vanuatu,0.116
243,2000-01-01,Venezuela (Boliv. Rep. of),0.093
244,2000-01-01,Viet Nam,0.061
245,2000-01-01,Azerbaijan,0.034
246,2000-01-01,Western Asia,0.11
247,2000-01-01,United Arab Emirates,0.006
248,2000-01-01,Yemen,0.428
249,2000-01-01,Zimbabwe,0.629
250,2000-01-01,Afghanistan,0.821
251,2000-01-01,Albania,0.03
252,2000-01-01,Algeria,0.148
253,2000-01-01,Austria,0.005
254,2000-01-01,Angola,0.705
255,2000-01-01,Australia,0.007
256,2000-01-01,Argentina,0.058
257,2000-01-01,Armenia,0.04
258,2000-01-01,Zambia,0.372
259,2000-01-01,Nicaragua,0.19
260,2000-01-01,Ukraine,0.03
261,2000-01-01,Bahamas,0.074
262,2000-01-01,Sub-Saharan Africa,0.717
263,2000-01-01,Sudan,0.44
264,2000-01-01,Suriname,0.223
265,2000-01-01,Swaziland,0.595
266,2000-01-01,Sweden,0.005
267,2000-01-01,Switzerland,0.007
268,2000-01-01,Syrian Arab Republic,0.058
269,2000-01-01,TFYR of Macedonia,0.01
270,2000-01-01,Tajikistan,0.046
271,2000-01-01,Uganda,0.504
272,2000-01-01,Thailand,0.026
273,2000-01-01,Togo,0.427
274,2000-01-01,Bangladesh,0.319
275,2000-01-01,Tonga,0.114
276,2000-01-01,"Total, all countries or areas",0.288
277,2000-01-01,Trinidad and Tobago,0.062
278,2000-01-01,Tunisia,0.074
279,2000-01-01,Turkey,0.057
280,2000-01-01,Turkmenistan,0.053
281,2000-01-01,Bahrain,0.02
282,2000-01-01,Timor-Leste,0.506
283,2000-01-01,New Zealand,0.014
284,2000-01-01,Netherlands,0.011
285,2000-01-01,Nepal,0.444
286,2000-01-01,Ethiopia,0.743
287,2000-01-01,Canada,0.009
288,2000-01-01,Fiji,0.039
289,2000-01-01,Finland,0.004
290,2000-01-01,France,0.01
291,2000-01-01,Gabon,0.37
292,2000-01-01,Gambia,0.807
293,2000-01-01,Georgia,0.037
294,2000-01-01,Ghana,0.376
295,2000-01-01,Estonia,0.015
296,2000-01-01,Cameroon,0.729
297,2000-01-01,Cambodia,0.315
298,2000-01-01,Grenada,0.025
299,2000-01-01,Guatemala,0.12
300,2000-01-01,Guinea,0.831
301,2000-01-01,Guinea-Bissau,0.714
302,2000-01-01,Guyana,0.232
303,2000-01-01,Haiti,0.459
304,2000-01-01,Cabo Verde,0.054
305,2000-01-01,Honduras,0.15
306,2000-01-01,Greece,0.003
307,2000-01-01,Hungary,0.014
308,2000-01-01,Eritrea,0.619
309,2000-01-01,El Salvador,0.068
310,2000-01-01,Chile,0.027
311,2000-01-01,China,0.048
312,2000-01-01,Colombia,0.08
313,2000-01-01,Comoros,0.436
314,2000-01-01,Congo,0.596
315,2000-01-01,Costa Rica,0.031
316,2000-01-01,Croatia,0.011
317,2000-01-01,Cuba,0.041
318,2000-01-01,Cyprus,0.012
319,2000-01-01,Equatorial Guinea,0.483
320,2000-01-01,Czechia,0.006
321,2000-01-01,Dem. People's Rep. Korea,0.105
322,2000-01-01,Dem. Rep. of the Congo,0.787
323,2000-01-01,Denmark,0.008
324,2000-01-01,Djibouti,0.341
325,2000-01-01,Central African Republic,1.058
326,2000-01-01,Dominican Republic,0.064
327,2000-01-01,Eastern Asia,0.048
328,2000-01-01,Ecuador,0.074
329,2000-01-01,Egypt,0.052
330,2000-01-01,Côte d'Ivoire,0.742
331,2000-01-01,El Salvador,0.068
332,2000-01-01,Iceland,0.004
333,2000-01-01,Indonesia,0.212
334,2000-01-01,Madagascar,0.508
335,2000-01-01,Malawi,0.648
336,2000-01-01,Malaysia,0.052
337,2000-01-01,Maldives,0.101
338,2000-01-01,Mali,0.714
339,2000-01-01,Malta,0.013
340,2000-01-01,Bulgaria,0.015
341,2000-01-01,Mauritania,0.75
342,2000-01-01,Mauritius,0.039
343,2000-01-01,Luxembourg,0.013
344,2000-01-01,Mexico,0.054
345,2000-01-01,Brunei Darussalam,0.03
346,2000-01-01,Mongolia,0.095
347,2000-01-01,Montenegro,0.009
348,2000-01-01,Brazil,0.067
349,2000-01-01,Morocco,0.19
350,2000-01-01,Mozambique,0.762
351,2000-01-01,Myanmar,0.248
352,2000-01-01,Namibia,0.39
353,2000-01-01,Botswana,0.276
354,2000-01-01,Micronesia (Fed. States of),0.134
355,2000-01-01,India,0.28
356,2000-01-01,Lithuania,0.012
357,2000-01-01,Libya,0.011
358,2000-01-01,Iran (Islamic Republic of),0.034
359,2000-01-01,Iraq,0.054
360,2000-01-01,Ireland,0.008
361,2000-01-01,Burundi,0.863
362,2000-01-01,Israel,0.007
363,2000-01-01,Italy,0.004
364,2000-01-01,Jamaica,0.092
365,2000-01-01,Japan,0.007
366,2000-01-01,Jordan,0.062
367,2000-01-01,Burkina Faso,0.468
368,2000-01-01,Kazakhstan,0.044
369,2000-01-01,Kiribati,0.135
370,2000-01-01,Kuwait,0.006
371,2000-01-01,Kyrgyzstan,0.085
372,2000-01-01,Lao People's Dem. Rep.,0.418
373,2000-01-01,Latin America & the Caribbean,0.088
374,2000-01-01,Latvia,0.022
375,2000-01-01,Lebanon,0.027
376,2000-01-01,Lesotho,0.746
377,2000-01-01,Liberia,1.02
378,2000-01-01,Kenya,0.728
379,2000-01-01,Egypt,0.052
380,2000-01-01,Jamaica,0.092
381,2000-01-01,Russian Federation,0.042
382,2000-01-01,Belgium,0.008
383,2000-01-01,Mexico,0.054
384,2000-01-01,Belarus,0.013
385,2000-01-01,Micronesia (Fed. States of),0.134
386,2000-01-01,Barbados,0.04
387,2000-01-01,Honduras,0.15
388,2000-01-01,Mongolia,0.095
389,2000-01-01,Ecuador,0.074
390,2000-01-01,Montenegro,0.009
391,2000-01-01,Morocco,0.19
392,2000-01-01,Mozambique,0.762
393,2000-01-01,Myanmar,0.248
394,2000-01-01,Namibia,0.39
395,2000-01-01,Bangladesh,0.319
396,2000-01-01,Guyana,0.232
397,2000-01-01,Nepal,0.444
398,2000-01-01,Haiti,0.459
399,2000-01-01,Belize,0.052
400,2000-01-01,Benin,0.502
401,2000-01-01,Kenya,0.728
402,2000-01-01,Lithuania,0.012
403,2000-01-01,Luxembourg,0.013
404,2000-01-01,Madagascar,0.508
405,2000-01-01,Malawi,0.648
406,2000-01-01,Brazil,0.067
407,2000-01-01,Malaysia,0.052
408,2000-01-01,Maldives,0.101
409,2000-01-01,Mali,0.714
410,2000-01-01,Botswana,0.276
411,2000-01-01,Malta,0.013
412,2000-01-01,Hungary,0.014
413,2000-01-01,Bosnia and Herzegovina,0.014
414,2000-01-01,Kazakhstan,0.044
415,2000-01-01,Bolivia (Plurin. State of),0.305
416,2000-01-01,Mauritania,0.75
417,2000-01-01,Mauritius,0.039
418,2000-01-01,Bhutan,0.308
419,2000-01-01,Netherlands,0.011
420,2000-01-01,Iceland,0.004
421,2000-01-01,Bahrain,0.02
422,2000-01-01,Nicaragua,0.19
423,2000-01-01,Poland,0.006
424,2000-01-01,Angola,0.705
425,2000-01-01,Portugal,0.012
426,2000-01-01,Puerto Rico,0.019
427,2000-01-01,Qatar,0.021
428,2000-01-01,Republic of Korea,0.014
429,2000-01-01,Kuwait,0.006
430,2000-01-01,Kiribati,0.135
431,2000-01-01,Republic of Moldova,0.039
432,2000-01-01,Colombia,0.08
433,2000-01-01,Rwanda,0.567
434,2000-01-01,Kyrgyzstan,0.085
435,2000-01-01,Algeria,0.148
436,2000-01-01,Saint Lucia,0.067
437,2000-01-01,Grenada,0.025
438,2000-01-01,Saint Vincent & Grenadines,0.05
439,2000-01-01,Romania,0.033
440,2000-01-01,Philippines,0.127
441,2000-01-01,Peru,0.114
442,2000-01-01,Paraguay,0.159
443,2000-01-01,Niger,0.723
444,2000-01-01,Nigeria,0.946
445,2000-01-01,Guinea-Bissau,0.714
446,2000-01-01,Northern Africa,0.095
447,2000-01-01,Bahamas,0.074
448,2000-01-01,Azerbaijan,0.034
449,2000-01-01,Guinea,0.831
450,2000-01-01,Austria,0.005
451,2000-01-01,Norway,0.007
452,2000-01-01,Australia,0.007
453,2000-01-01,Oman,0.02
454,2000-01-01,Pakistan,0.249
455,2000-01-01,Armenia,0.04
456,2000-01-01,Guatemala,0.12
