,Time,Name,Fertility rate
236,2000-01-01,Sri Lanka,2.3
237,2000-01-01,State of Palestine,5.0
238,2000-01-01,United Kingdom,1.7
239,2000-01-01,United Rep. of Tanzania,5.7
240,2000-01-01,United States of America,2.0
241,2000-01-01,Uzbekistan,2.5
242,2000-01-01,Vanuatu,4.1
243,2000-01-01,Venezuela (Boliv. Rep. of),2.7
244,2000-01-01,Viet Nam,1.9
245,2000-01-01,Azerbaijan,1.9
246,2000-01-01,Western Asia,3.2
247,2000-01-01,United Arab Emirates,2.4
248,2000-01-01,Yemen,5.9
249,2000-01-01,Zimbabwe,4.0
250,2000-01-01,Afghanistan,7.2
251,2000-01-01,Albania,1.9
252,2000-01-01,Algeria,2.4
253,2000-01-01,Austria,1.4
254,2000-01-01,Angola,6.6
255,2000-01-01,Australia,1.8
256,2000-01-01,Argentina,2.5
257,2000-01-01,Armenia,1.7
258,2000-01-01,Zambia,6.0
259,2000-01-01,Nicaragua,2.8
260,2000-01-01,Ukraine,1.1
261,2000-01-01,Bahamas,1.9
262,2000-01-01,Sub-Saharan Africa,5.6
263,2000-01-01,Sudan,5.3
264,2000-01-01,Suriname,2.8
265,2000-01-01,Swaziland,4.0
266,2000-01-01,Sweden,1.7
267,2000-01-01,Switzerland,1.4
268,2000-01-01,Syrian Arab Republic,3.8
269,2000-01-01,TFYR of Macedonia,1.6
270,2000-01-01,Tajikistan,3.6
271,2000-01-01,Uganda,6.7
272,2000-01-01,Thailand,1.6
273,2000-01-01,Togo,5.3
274,2000-01-01,Bangladesh,2.9
275,2000-01-01,Tonga,4.2
276,2000-01-01,"Total, all countries or areas",2.6
277,2000-01-01,Trinidad and Tobago,1.8
278,2000-01-01,Tunisia,2.0
279,2000-01-01,Turkey,2.4
280,2000-01-01,Turkmenistan,2.8
281,2000-01-01,Bahrain,2.7
282,2000-01-01,Timor-Leste,7.0
283,2000-01-01,New Zealand,1.9
284,2000-01-01,Netherlands,1.7
285,2000-01-01,Nepal,3.6
286,2000-01-01,Ethiopia,6.1
287,2000-01-01,Canada,1.5
288,2000-01-01,Fiji,3.0
289,2000-01-01,Finland,1.8
290,2000-01-01,France,1.9
291,2000-01-01,Gabon,4.4
292,2000-01-01,Gambia,5.9
293,2000-01-01,Georgia,1.6
294,2000-01-01,Ghana,4.6
295,2000-01-01,Estonia,1.4
296,2000-01-01,Cameroon,5.5
297,2000-01-01,Cambodia,3.4
298,2000-01-01,Grenada,2.4
299,2000-01-01,Guatemala,4.3
300,2000-01-01,Guinea,5.9
301,2000-01-01,Guinea-Bissau,5.6
302,2000-01-01,Guyana,2.9
303,2000-01-01,Haiti,4.0
304,2000-01-01,Cabo Verde,3.4
305,2000-01-01,Honduras,3.8
306,2000-01-01,Greece,1.3
307,2000-01-01,Hungary,1.3
308,2000-01-01,Eritrea,5.1
309,2000-01-01,El Salvador,2.7
310,2000-01-01,Chile,2.0
311,2000-01-01,China,1.6
312,2000-01-01,Colombia,2.3
313,2000-01-01,Comoros,5.2
314,2000-01-01,Congo,5.1
315,2000-01-01,Costa Rica,2.2
316,2000-01-01,Croatia,1.4
317,2000-01-01,Cuba,1.6
318,2000-01-01,Cyprus,1.6
319,2000-01-01,Equatorial Guinea,5.7
320,2000-01-01,Czechia,1.2
321,2000-01-01,Dem. People's Rep. Korea,2.0
322,2000-01-01,Dem. Rep. of the Congo,6.7
323,2000-01-01,Denmark,1.8
324,2000-01-01,Djibouti,4.2
325,2000-01-01,Central African Republic,5.5
326,2000-01-01,Dominican Republic,2.8
327,2000-01-01,Eastern Asia,1.5
328,2000-01-01,Ecuador,2.9
329,2000-01-01,Egypt,3.2
330,2000-01-01,Côte d'Ivoire,5.7
331,2000-01-01,El Salvador,2.7
332,2000-01-01,Iceland,2.0
333,2000-01-01,Indonesia,2.5
334,2000-01-01,Madagascar,5.3
335,2000-01-01,Malawi,6.0
336,2000-01-01,Malaysia,2.5
337,2000-01-01,Maldives,2.6
338,2000-01-01,Mali,6.9
339,2000-01-01,Malta,1.5
340,2000-01-01,Bulgaria,1.2
341,2000-01-01,Mauritania,5.3
342,2000-01-01,Mauritius,1.9
343,2000-01-01,Luxembourg,1.7
344,2000-01-01,Mexico,2.6
345,2000-01-01,Brunei Darussalam,2.0
346,2000-01-01,Mongolia,2.1
347,2000-01-01,Montenegro,1.9
348,2000-01-01,Brazil,2.1
349,2000-01-01,Morocco,2.7
350,2000-01-01,Mozambique,5.8
351,2000-01-01,Myanmar,2.9
352,2000-01-01,Namibia,3.8
353,2000-01-01,Botswana,3.2
354,2000-01-01,Micronesia (Fed. States of),4.1
355,2000-01-01,India,3.1
356,2000-01-01,Lithuania,1.3
357,2000-01-01,Libya,2.6
358,2000-01-01,Iran (Islamic Republic of),2.0
359,2000-01-01,Iraq,4.7
360,2000-01-01,Ireland,2.0
361,2000-01-01,Burundi,6.9
362,2000-01-01,Israel,2.9
363,2000-01-01,Italy,1.3
364,2000-01-01,Jamaica,2.5
365,2000-01-01,Japan,1.3
366,2000-01-01,Jordan,3.9
367,2000-01-01,Burkina Faso,6.4
368,2000-01-01,Kazakhstan,2.0
369,2000-01-01,Kiribati,4.0
370,2000-01-01,Kuwait,2.6
371,2000-01-01,Kyrgyzstan,2.5
372,2000-01-01,Lao People's Dem. Rep.,3.9
373,2000-01-01,Latin America & the Caribbean,2.5
374,2000-01-01,Latvia,1.3
375,2000-01-01,Lebanon,2.0
376,2000-01-01,Lesotho,3.8
377,2000-01-01,Liberia,5.7
378,2000-01-01,Kenya,5.0
379,2000-01-01,Egypt,3.2
380,2000-01-01,Jamaica,2.5
381,2000-01-01,Russian Federation,1.3
382,2000-01-01,Belgium,1.7
383,2000-01-01,Mexico,2.6
384,2000-01-01,Belarus,1.3
385,2000-01-01,Micronesia (Fed. States of),4.1
386,2000-01-01,Barbados,1.8
387,2000-01-01,Honduras,3.8
388,2000-01-01,Mongolia,2.1
389,2000-01-01,Ecuador,2.9
390,2000-01-01,Montenegro,1.9
391,2000-01-01,Morocco,2.7
392,2000-01-01,Mozambique,5.8
