,Time,Name,Population growth (%),Life expectancy (years)
183,2000-01-01,Denmark,0.3,77.3
184,2000-01-01,Morocco,1.1,70.0
185,2000-01-01,Mozambique,2.9,49.6
186,2000-01-01,Myanmar,1.0,62.9
187,2000-01-01,Mauritius,0.6,72.1
188,2000-01-01,Canada,1.0,79.7
189,2000-01-01,Central African Republic,1.9,43.7
190,2000-01-01,Chad,3.8,47.7
191,2000-01-01,Belize,2.7,68.5
192,2000-01-01,Saint Lucia,0.8,72.1
193,2000-01-01,Belgium,0.5,78.4
194,2000-01-01,Saint Vincent & Grenadines,0.2,70.7
195,2000-01-01,Samoa,0.6,70.1
196,2000-01-01,Belarus,-0.6,67.8
197,2000-01-01,Sao Tome and Principe,2.3,63.8
198,2000-01-01,Saudi Arabia,2.8,72.9
199,2000-01-01,Senegal,2.6,58.9
200,2000-01-01,Serbia,-0.6,72.4
201,2000-01-01,Sierra Leone,4.3,41.3
202,2000-01-01,Singapore,2.8,79.2
203,2000-01-01,Barbados,0.3,73.8
204,2000-01-01,Slovenia,0.1,76.7
205,2000-01-01,Solomon Islands,2.6,64.7
206,2000-01-01,Somalia,2.9,51.5
207,2000-01-01,South Africa,1.3,53.8
208,2000-01-01,South Sudan,3.8,50.2
209,2000-01-01,South-eastern Asia,1.4,68.1
210,2000-01-01,Benin,3.0,56.2
211,2000-01-01,Rwanda,2.3,50.6
212,2000-01-01,Russian Federation,-0.4,64.9
213,2000-01-01,Romania,-0.6,71.5
214,2000-01-01,Niger,3.6,51.4
215,2000-01-01,Nigeria,2.5,46.9
216,2000-01-01,Bosnia and Herzegovina,0.1,74.8
217,2000-01-01,Northern Africa,1.7,67.9
218,2000-01-01,Bolivia (Plurin. State of),1.8,62.1
219,2000-01-01,Norway,0.6,79.3
220,2000-01-01,Oman,2.0,73.2
221,2000-01-01,Pakistan,2.1,63.3
222,2000-01-01,Bhutan,2.7,62.9
223,2000-01-01,Southern Asia,1.7,64.0
224,2000-01-01,Panama,1.9,75.5
225,2000-01-01,Paraguay,1.8,70.8
226,2000-01-01,Peru,1.3,71.6
227,2000-01-01,Philippines,2.0,67.5
228,2000-01-01,Poland,-0.1,74.6
229,2000-01-01,Portugal,0.4,77.6
230,2000-01-01,Puerto Rico,-0.2,76.8
231,2000-01-01,Qatar,7.6,76.6
232,2000-01-01,Republic of Korea,0.6,77.2
233,2000-01-01,Republic of Moldova,-0.2,67.6
234,2000-01-01,Papua New Guinea,2.5,62.6
235,2000-01-01,Spain,1.5,79.9
236,2000-01-01,Sri Lanka,0.8,73.2
237,2000-01-01,State of Palestine,2.1,71.2
238,2000-01-01,United Kingdom,0.4,78.4
239,2000-01-01,United Rep. of Tanzania,2.8,53.7
240,2000-01-01,United States of America,0.9,77.2
241,2000-01-01,Uzbekistan,1.3,67.7
242,2000-01-01,Vanuatu,2.5,68.4
243,2000-01-01,Venezuela (Boliv. Rep. of),1.8,72.8
244,2000-01-01,Viet Nam,1.0,73.8
245,2000-01-01,Azerbaijan,1.0,67.4
246,2000-01-01,Western Asia,2.1,70.9
247,2000-01-01,United Arab Emirates,7.5,74.8
248,2000-01-01,Yemen,2.8,61.0
249,2000-01-01,Zimbabwe,1.1,44.1
250,2000-01-01,Afghanistan,4.4,56.9
251,2000-01-01,Albania,-0.3,74.8
252,2000-01-01,Algeria,1.3,71.5
253,2000-01-01,Austria,0.5,78.9
254,2000-01-01,Angola,3.5,50.0
255,2000-01-01,Australia,1.2,80.3
256,2000-01-01,Argentina,1.1,74.3
257,2000-01-01,Armenia,-0.6,72.4
258,2000-01-01,Zambia,2.7,46.9
259,2000-01-01,Nicaragua,1.4,70.9
260,2000-01-01,Ukraine,-0.8,67.5
261,2000-01-01,Bahamas,2.0,73.2
262,2000-01-01,Sub-Saharan Africa,2.7,50.7
263,2000-01-01,Sudan,2.5,59.4
264,2000-01-01,Suriname,1.1,68.1
265,2000-01-01,Swaziland,0.8,46.0
266,2000-01-01,Sweden,0.4,80.1
267,2000-01-01,Switzerland,0.7,80.5
268,2000-01-01,Syrian Arab Republic,2.2,73.6
269,2000-01-01,TFYR of Macedonia,0.2,73.8
270,2000-01-01,Tajikistan,2.0,66.5
271,2000-01-01,Uganda,3.4,49.9
272,2000-01-01,Thailand,0.8,71.2
273,2000-01-01,Togo,2.7,53.9
274,2000-01-01,Bangladesh,1.7,66.7
275,2000-01-01,Tonga,0.6,71.2
276,2000-01-01,"Total, all countries or areas",1.3,67.2
277,2000-01-01,Trinidad and Tobago,0.5,68.7
278,2000-01-01,Tunisia,0.8,73.7
279,2000-01-01,Turkey,1.4,71.4
280,2000-01-01,Turkmenistan,1.0,64.2
281,2000-01-01,Bahrain,5.8,74.9
282,2000-01-01,Timor-Leste,3.3,61.5
283,2000-01-01,New Zealand,1.4,79.1
284,2000-01-01,Netherlands,0.5,78.7
285,2000-01-01,Nepal,1.5,64.1
286,2000-01-01,Ethiopia,2.9,53.6
287,2000-01-01,Canada,1.0,79.7
288,2000-01-01,Fiji,0.3,68.0
289,2000-01-01,Finland,0.3,78.4
290,2000-01-01,France,0.5,79.4
291,2000-01-01,Gabon,2.6,59.1
292,2000-01-01,Gambia,3.2,56.9
293,2000-01-01,Georgia,-1.0,72.6
294,2000-01-01,Ghana,2.6,57.5
295,2000-01-01,Estonia,-0.6,71.6
296,2000-01-01,Cameroon,2.6,51.5
297,2000-01-01,Cambodia,1.8,60.8
298,2000-01-01,Grenada,0.3,70.9
299,2000-01-01,Guatemala,2.3,68.9
300,2000-01-01,Guinea,1.9,51.3
301,2000-01-01,Guinea-Bissau,2.1,52.7
302,2000-01-01,Guyana,-0.1,65.3
303,2000-01-01,Haiti,1.6,58.3
304,2000-01-01,Cabo Verde,1.7,71.3
305,2000-01-01,Honduras,2.4,71.0
306,2000-01-01,Greece,0.3,79.1
307,2000-01-01,Hungary,-0.3,72.5
308,2000-01-01,Eritrea,3.1,56.7
309,2000-01-01,El Salvador,0.5,69.6
310,2000-01-01,Chile,1.1,77.4
311,2000-01-01,China,0.6,73.1
312,2000-01-01,Colombia,1.4,71.7
313,2000-01-01,Comoros,2.4,59.6
314,2000-01-01,Congo,2.8,52.1
315,2000-01-01,Costa Rica,1.6,77.8
316,2000-01-01,Croatia,-0.2,74.9
317,2000-01-01,Cuba,0.2,77.2
318,2000-01-01,Cyprus,1.7,78.3
319,2000-01-01,Equatorial Guinea,4.2,53.6
320,2000-01-01,Czechia,-0.1,75.5
321,2000-01-01,Dem. People's Rep. Korea,0.8,68.1
322,2000-01-01,Dem. Rep. of the Congo,3.0,51.8
