,Time,Name,Population growth (%)
285,2000-01-01,Nepal,1.5
286,2000-01-01,Ethiopia,2.9
287,2000-01-01,Canada,1.0
288,2000-01-01,Fiji,0.3
289,2000-01-01,Finland,0.3
290,2000-01-01,France,0.5
291,2000-01-01,Gabon,2.6
292,2000-01-01,Gambia,3.2
293,2000-01-01,Georgia,-1.0
294,2000-01-01,Ghana,2.6
295,2000-01-01,Estonia,-0.6
296,2000-01-01,Cameroon,2.6
297,2000-01-01,Cambodia,1.8
298,2000-01-01,Grenada,0.3
299,2000-01-01,Guatemala,2.3
300,2000-01-01,Guinea,1.9
301,2000-01-01,Guinea-Bissau,2.1
302,2000-01-01,Guyana,-0.1
303,2000-01-01,Haiti,1.6
304,2000-01-01,Cabo Verde,1.7
305,2000-01-01,Honduras,2.4
306,2000-01-01,Greece,0.3
307,2000-01-01,Hungary,-0.3
308,2000-01-01,Eritrea,3.1
309,2000-01-01,El Salvador,0.5
310,2000-01-01,Chile,1.1
311,2000-01-01,China,0.6
312,2000-01-01,Colombia,1.4
313,2000-01-01,Comoros,2.4
314,2000-01-01,Congo,2.8
315,2000-01-01,Costa Rica,1.6
316,2000-01-01,Croatia,-0.2
317,2000-01-01,Cuba,0.2
318,2000-01-01,Cyprus,1.7
319,2000-01-01,Equatorial Guinea,4.2
320,2000-01-01,Czechia,-0.1
321,2000-01-01,Dem. People's Rep. Korea,0.8
322,2000-01-01,Dem. Rep. of the Congo,3.0
323,2000-01-01,Denmark,0.3
324,2000-01-01,Djibouti,1.8
325,2000-01-01,Central African Republic,1.9
326,2000-01-01,Dominican Republic,1.5
327,2000-01-01,Eastern Asia,0.6
328,2000-01-01,Ecuador,1.7
329,2000-01-01,Egypt,1.9
330,2000-01-01,Côte d'Ivoire,1.9
331,2000-01-01,El Salvador,0.5
332,2000-01-01,Iceland,1.0
333,2000-01-01,Indonesia,1.4
334,2000-01-01,Madagascar,3.0
335,2000-01-01,Malawi,2.7
336,2000-01-01,Malaysia,2.0
337,2000-01-01,Maldives,2.6
338,2000-01-01,Mali,3.1
339,2000-01-01,Malta,0.5
340,2000-01-01,Bulgaria,-0.8
341,2000-01-01,Mauritania,2.9
342,2000-01-01,Mauritius,0.6
343,2000-01-01,Luxembourg,1.0
344,2000-01-01,Mexico,1.3
345,2000-01-01,Brunei Darussalam,1.8
346,2000-01-01,Mongolia,1.0
347,2000-01-01,Montenegro,0.1
348,2000-01-01,Brazil,1.3
349,2000-01-01,Morocco,1.1
350,2000-01-01,Mozambique,2.9
351,2000-01-01,Myanmar,1.0
352,2000-01-01,Namibia,1.4
353,2000-01-01,Botswana,1.4
354,2000-01-01,Micronesia (Fed. States of),-0.2
355,2000-01-01,India,1.7
356,2000-01-01,Lithuania,-0.9
357,2000-01-01,Libya,1.6
358,2000-01-01,Iran (Islamic Republic of),1.3
359,2000-01-01,Iraq,2.7
360,2000-01-01,Ireland,1.8
361,2000-01-01,Burundi,3.0
362,2000-01-01,Israel,1.9
363,2000-01-01,Italy,0.5
364,2000-01-01,Jamaica,0.7
365,2000-01-01,Japan,0.1
366,2000-01-01,Jordan,2.3
367,2000-01-01,Burkina Faso,2.9
368,2000-01-01,Kazakhstan,0.6
369,2000-01-01,Kiribati,1.8
370,2000-01-01,Kuwait,2.1
371,2000-01-01,Kyrgyzstan,0.6
372,2000-01-01,Lao People's Dem. Rep.,1.5
373,2000-01-01,Latin America & the Caribbean,1.3
374,2000-01-01,Latvia,-1.1
375,2000-01-01,Lebanon,4.2
376,2000-01-01,Lesotho,0.8
377,2000-01-01,Liberia,2.5
378,2000-01-01,Kenya,2.7
379,2000-01-01,Egypt,1.9
380,2000-01-01,Jamaica,0.7
381,2000-01-01,Russian Federation,-0.4
382,2000-01-01,Belgium,0.5
383,2000-01-01,Mexico,1.3
384,2000-01-01,Belarus,-0.6
385,2000-01-01,Micronesia (Fed. States of),-0.2
386,2000-01-01,Barbados,0.3
387,2000-01-01,Honduras,2.4
388,2000-01-01,Mongolia,1.0
389,2000-01-01,Ecuador,1.7
390,2000-01-01,Montenegro,0.1
391,2000-01-01,Morocco,1.1
392,2000-01-01,Mozambique,2.9
393,2000-01-01,Myanmar,1.0
394,2000-01-01,Namibia,1.4
395,2000-01-01,Bangladesh,1.7
396,2000-01-01,Guyana,-0.1
397,2000-01-01,Nepal,1.5
398,2000-01-01,Haiti,1.6
399,2000-01-01,Belize,2.7
400,2000-01-01,Benin,3.0
401,2000-01-01,Kenya,2.7
402,2000-01-01,Lithuania,-0.9
403,2000-01-01,Luxembourg,1.0
404,2000-01-01,Madagascar,3.0
405,2000-01-01,Malawi,2.7
406,2000-01-01,Brazil,1.3
407,2000-01-01,Malaysia,2.0
408,2000-01-01,Maldives,2.6
409,2000-01-01,Mali,3.1
410,2000-01-01,Botswana,1.4
411,2000-01-01,Malta,0.5
412,2000-01-01,Hungary,-0.3
413,2000-01-01,Bosnia and Herzegovina,0.1
414,2000-01-01,Kazakhstan,0.6
415,2000-01-01,Bolivia (Plurin. State of),1.8
416,2000-01-01,Mauritania,2.9
417,2000-01-01,Mauritius,0.6
418,2000-01-01,Bhutan,2.7
419,2000-01-01,Netherlands,0.5
420,2000-01-01,Iceland,1.0
421,2000-01-01,Bahrain,5.8
422,2000-01-01,Nicaragua,1.4
423,2000-01-01,Poland,-0.1
424,2000-01-01,Angola,3.5
425,2000-01-01,Portugal,0.4
426,2000-01-01,Puerto Rico,-0.2
427,2000-01-01,Qatar,7.6
428,2000-01-01,Republic of Korea,0.6
429,2000-01-01,Kuwait,2.1
430,2000-01-01,Kiribati,1.8
431,2000-01-01,Republic of Moldova,-0.2
432,2000-01-01,Colombia,1.4
433,2000-01-01,Rwanda,2.3
434,2000-01-01,Kyrgyzstan,0.6
435,2000-01-01,Algeria,1.3
436,2000-01-01,Saint Lucia,0.8
437,2000-01-01,Grenada,0.3
438,2000-01-01,Saint Vincent & Grenadines,0.2
439,2000-01-01,Romania,-0.6
440,2000-01-01,Philippines,2.0
441,2000-01-01,Peru,1.3
442,2000-01-01,Paraguay,1.8
443,2000-01-01,Niger,3.6
444,2000-01-01,Nigeria,2.5
445,2000-01-01,Guinea-Bissau,2.1
446,2000-01-01,Northern Africa,1.7
447,2000-01-01,Bahamas,2.0
448,2000-01-01,Azerbaijan,1.0
449,2000-01-01,Guinea,1.9
450,2000-01-01,Austria,0.5
451,2000-01-01,Norway,0.6
452,2000-01-01,Australia,1.2
453,2000-01-01,Oman,2.0
454,2000-01-01,Pakistan,2.1
455,2000-01-01,Armenia,-0.6
456,2000-01-01,Guatemala,2.3
457,2000-01-01,Panama,1.9
458,2000-01-01,Argentina,1.1
459,2000-01-01,Papua New Guinea,2.5
