,Time,Name,State.Name
479,2000-01-01,Cherokee County,4552
480,2000-01-01,Cherry County,4569
481,2000-01-01,Chesapeake city,4586
482,2000-01-01,Cheshire County,4570
483,2000-01-01,Chester County,4581
484,2000-01-01,Chester County,4578
485,2000-01-01,Chester County,4583
486,2000-01-01,Chesterfield County,4581
487,2000-01-01,Chesterfield County,4586
488,2000-01-01,Cheyenne County,4569
489,2000-01-01,Cheyenne County,4545
490,2000-01-01,Cheyenne County,4556
491,2000-01-01,Chickasaw County,4565
492,2000-01-01,Chickasaw County,4552
493,2000-01-01,Chicot County,4542
494,2000-01-01,Childress County,4584
495,2000-01-01,Chilton County,4541
496,2000-01-01,Chippewa County,4589
497,2000-01-01,Chippewa County,4563
498,2000-01-01,Chippewa County,4562
499,2000-01-01,Chisago County,4563
500,2000-01-01,Chittenden County,4587
501,2000-01-01,Choctaw County,4576
502,2000-01-01,Choctaw County,4541
503,2000-01-01,Choctaw County,4565
504,2000-01-01,Chouteau County,4566
505,2000-01-01,Chowan County,4567
506,2000-01-01,Christian County,4554
507,2000-01-01,Christian County,4564
508,2000-01-01,Christian County,4557
509,2000-01-01,Churchill County,4573
510,2000-01-01,Cibola County,4572
511,2000-01-01,Cimarron County,4576
512,2000-01-01,Citrus County,4549
513,2000-01-01,Clackamas County,4577
514,2000-01-01,Claiborne County,4583
515,2000-01-01,Claiborne County,4565
516,2000-01-01,Claiborne Parish,4558
517,2000-01-01,Clallam County,4588
518,2000-01-01,Clare County,4562
519,2000-01-01,Clarendon County,4581
520,2000-01-01,Clarion County,4578
521,2000-01-01,Clark County,4575
522,2000-01-01,Clark County,4573
523,2000-01-01,Clark County,4589
524,2000-01-01,Clark County,4588
525,2000-01-01,Clark County,4582
526,2000-01-01,Clark County,4553
527,2000-01-01,Clark County,4555
528,2000-01-01,Clark County,4554
529,2000-01-01,Clark County,4542
530,2000-01-01,Clark County,4564
531,2000-01-01,Clark County,4556
532,2000-01-01,Clark County,4557
533,2000-01-01,Clarke County,4586
534,2000-01-01,Clarke County,4550
535,2000-01-01,Clarke County,4541
536,2000-01-01,Clarke County,4565
537,2000-01-01,Clarke County,4552
538,2000-01-01,Clatsop County,4577
539,2000-01-01,Clay County,4569
540,2000-01-01,Clay County,4567
541,2000-01-01,Clay County,4590
542,2000-01-01,Clay County,4582
543,2000-01-01,Clay County,4583
544,2000-01-01,Clay County,4584
545,2000-01-01,Clay County,4550
546,2000-01-01,Clay County,4555
547,2000-01-01,Clay County,4554
548,2000-01-01,Clay County,4542
549,2000-01-01,Clay County,4541
550,2000-01-01,Clay County,4549
551,2000-01-01,Clay County,4563
552,2000-01-01,Clay County,4564
553,2000-01-01,Clay County,4565
554,2000-01-01,Clay County,4556
555,2000-01-01,Clay County,4552
556,2000-01-01,Clay County,4557
557,2000-01-01,Clayton County,4550
558,2000-01-01,Clayton County,4552
559,2000-01-01,Clear Creek County,4545
560,2000-01-01,Clearfield County,4578
561,2000-01-01,Clearwater County,4553
562,2000-01-01,Clearwater County,4563
563,2000-01-01,Cleburne County,4542
564,2000-01-01,Cleburne County,4541
565,2000-01-01,Clermont County,4575
566,2000-01-01,Cleveland County,4576
567,2000-01-01,Cleveland County,4567
568,2000-01-01,Cleveland County,4542
569,2000-01-01,Clinch County,4550
570,2000-01-01,Clinton County,4575
571,2000-01-01,Clinton County,4578
572,2000-01-01,Clinton County,4574
573,2000-01-01,Clinton County,4555
574,2000-01-01,Clinton County,4554
575,2000-01-01,Clinton County,4562
576,2000-01-01,Clinton County,4564
577,2000-01-01,Clinton County,4552
578,2000-01-01,Clinton County,4557
579,2000-01-01,Cloud County,4556
580,2000-01-01,Coahoma County,4565
581,2000-01-01,Coal County,4576
582,2000-01-01,Cobb County,4550
583,2000-01-01,Cochise County,4543
584,2000-01-01,Cochran County,4584
585,2000-01-01,Cocke County,4583
586,2000-01-01,Coconino County,4543
587,2000-01-01,Codington County,4582
588,2000-01-01,Coffee County,4583
589,2000-01-01,Coffee County,4550
590,2000-01-01,Coffee County,4541
591,2000-01-01,Coffey County,4556
592,2000-01-01,Coke County,4584
593,2000-01-01,Colbert County,4541
594,2000-01-01,Cole County,4564
595,2000-01-01,Coleman County,4584
596,2000-01-01,Coles County,4554
597,2000-01-01,Colfax County,4569
598,2000-01-01,Colfax County,4572
599,2000-01-01,Colleton County,4581
600,2000-01-01,Collier County,4549
601,2000-01-01,Collin County,4584
602,2000-01-01,Collingsworth County,4584
603,2000-01-01,Colonial Heights city,4586
604,2000-01-01,Colorado County,4584
605,2000-01-01,Colquitt County,4550
606,2000-01-01,Columbia County,4578
607,2000-01-01,Columbia County,4577
608,2000-01-01,Columbia County,4574
609,2000-01-01,Columbia County,4589
610,2000-01-01,Columbia County,4588
611,2000-01-01,Columbia County,4550
612,2000-01-01,Columbia County,4542
613,2000-01-01,Columbia County,4549
614,2000-01-01,Columbiana County,4575
615,2000-01-01,Columbus County,4567
616,2000-01-01,Colusa County,4544
617,2000-01-01,Comal County,4584
618,2000-01-01,Comanche County,4576
619,2000-01-01,Comanche County,4584
620,2000-01-01,Comanche County,4556
621,2000-01-01,Concho County,4584
622,2000-01-01,Concordia Parish,4558
623,2000-01-01,Conecuh County,4541
624,2000-01-01,Conejos County,4545
625,2000-01-01,Contra Costa County,4544
626,2000-01-01,Converse County,4591
627,2000-01-01,Conway County,4542
628,2000-01-01,Cook County,4550
629,2000-01-01,Cook County,4554
630,2000-01-01,Cook County,4563
631,2000-01-01,Cooke County,4584
632,2000-01-01,Cooper County,4564
633,2000-01-01,Coos County,4577
634,2000-01-01,Coos County,4570
635,2000-01-01,Coosa County,4541
636,2000-01-01,Copiah County,4565
637,2000-01-01,Corson County,4582
638,2000-01-01,Cortland County,4574
